airline_sentiment,text
positive,@SouthwestAir Your crew on 3138 is doing a great job of keeping everyone informed during the delays #givethemraises
negative,@USAirways three hours on hold then disconnected. Conf EBHSET. Need to be home Sunday for interview
negative,@united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
negative,@AmericanAir I do not need an apology. I need you to fix it in a competent manner.
negative,@AmericanAir I understand the weather issue but you can't expect passengers to wait 24 hours inside airports for whatever reason. Outrageous
negative,@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?
neutral,@united to start 3xweekly #B737-900 flights from #NewOrleans to #Cancun on between 9MAY-5SEP #avgeek
positive,@SouthwestAir Whoa. Thanks and that's what I wanted to hear! Early flight coming up. Thanks for the reply.
neutral,@AmericanAir it's flight 5348
negative,@AmericanAir you know nothing about customer service and I'll make sure everyone knows it
neutral,@SouthwestAir go south everyone
negative,@SouthwestAir me not to be able to rebook another flight. Drove to ATL to catch a flight.... Was charged $40 just to get the a group I had
negative,@united that's why I blame your company. Because it had every opportunity to do a job and managed to fail each time for just lazy reasons
neutral,@SouthwestAir Can my wife's RR points be transferred to my RR account?
negative,@AmericanAir Customer service provides no wiggle room to change flight without a $200 change fee. @southwest has always been accommodating.
negative,@AmericanAir WHAT IS GOING ON?  This is pathetic. Online doesn't work and phone wants $25 to give a seat assignment.
negative,“@USAirways: @ch_mom Please reach out to our crewmember for assistance. Our apologies for the long wait.” #generic
negative,@united there's no reason it should take 7-10 days to respond.
neutral,@USAirways how long is that flight? http://t.co/bCwckWtnlE
neutral,@JetBlue hi. Just DM'd info
negative,@USAirways why are you letting us go to the runway if there are mechanical problems. #wewantcomps
neutral,@AmericanAir what about flight 1239?
negative,@SouthwestAir here we go again. Delayed in Chicago why offer the 630 flight if you never intend to fly it
negative,@USAirways when will FLT 445 get a gate at DEN? Over 20 minutes waiting with no information.
negative,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly
negative,@JetBlue why is t that every time I fly jfk even more speed doesn't work waiting for 10 min #nogood
neutral,@JetBlue ...really?
neutral,@USAirways Hi-i have a travel question. Could you please follow me so i can dm you?
negative,@SouthwestAir when and why was flight 4471 from MSP Cancelled Flighted this AM?
negative,@SouthwestAir you guys need better communication to your customers. This is rude and unprofessional.
negative,@united uh - I booked it through the UA website. Why the price change?
negative,@southwestair Your staff was really kind about the flight delay. Luggage? Not at all. Very disappointing.
negative,"@USAirways was transf, held 15-18 min more b4 agent answered and helped. By time I got to person fare I'd seen was gone.  Had to get supv."
negative,@USAirways so the seat next to me (19B) on flight 1943 to Seattle has a tray table that is falling off... http://t.co/HAJ5lKqjW4
negative,".@SouthwestAir I appreciate that, and not to be rude, but it doesn't solve much. You should AT LEAST cover the cost of stolen goods."
positive,@united one lady helping the 12 of us with luggage
neutral,@USAirways I have submitted my request. I would appreciate a call by 9am eastern. Thank you.
negative,@SouthwestAir I'm just calling to Cancelled Flight a flight. I already rebooked it on another card. Just need to Cancelled Flight the previous reservation.
negative,@USAirways I do to as I have an afternoon Conference in Las Vegas and I would rather plan ahead than run thru the airport and then attempt
negative,@DeltaAssist now at 57 minutes waiting on Silver Elite line for someone to pick up! Help!
positive,@USAirways I made it- thx.
negative,"@AmericanAir our ft 1261 TUS/DFW (w/cx to LGA) tomorrow Cancelled Flighted,  4 hrs so far waiting for call back. What should we do? Need to get to nyc"
negative,@JetBlue where did my travel bank credit go?  I can't call you right now.
positive,@JetBlue huge fan of great brands and people doing great things… you guys rock happy to share the love!
neutral,@SouthwestAir Can I do the same thing as changing a ticket by Cancelled Flighting my current ticket &amp; buying a replacement online?
